Image,ImageNumber,HighReferenceImage,Pipeline,Parameter,EdgeDetector,EdgeCount,EdgeDensity,ComponentCount,SmallComponentPercent,SignificantComponentPercent,JaccardToHigh,EdgeCountRatioToOriginal,Comment
665_low.png,665,665_high.png,Original low-light,"",Sobel,6977,2.90708333333333,1116,83.6021505376344,3.40501792114695,0.439321165545949,1,Original low-light: Το πλήθος ακμών μένει κοντά στην αρχική low-light εικόνα. Τα πολλά μικρά components δείχνουν θορυβώδες edge map. Οι σημαντικές συνεχόμενες ακμές παραμένουν περιορισμένες. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι σχετικά καλή (Jaccard 0.439).
665_low.png,665,665_high.png,Pipeline 1 - Gamma + stretch,"gamma=0.6, full range stretch",Sobel,6352,2.64666666666667,854,82.7868852459016,5.3864168618267,0.535522388059702,0.910419951268454,Pipeline 1 - Gamma + stretch: Το πλήθος ακμών μένει κοντά στην αρχική low-light εικόνα. Τα πολλά μικρά components δείχνουν θορυβώδες edge map. Οι σημαντικές συνεχόμενες ακμές παραμένουν περιορισμένες. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι σχετικά καλή (Jaccard 0.536).
665_low.png,665,665_high.png,Pipeline 2 - Median + CLAHE + unsharp,"median 3x3, CLAHE 8x8 clip 0.01, unsharp k=0.8",Sobel,5498,2.29083333333333,471,70.0636942675159,10.4033970276008,0.382383419689119,0.788017772681668,Pipeline 2 - Median + CLAHE + unsharp: Το πλήθος ακμών μένει κοντά στην αρχική low-light εικόνα. Τα πολλά μικρά components δείχνουν θορυβώδες edge map. Οι σημαντικές συνεχόμενες ακμές παραμένουν περιορισμένες. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι σχετικά καλή (Jaccard 0.382).
665_low.png,665,665_high.png,Pipeline 3 - Retinex sigma 15,"sigma=15",Sobel,9629,4.01208333333333,1833,81.342062193126,3.10965630114566,0.321405175237471,1.3801060627777,Pipeline 3 - Retinex sigma 15: Το πλήθος ακμών αυξάνεται ήπια και δείχνει καλύτερη ανάδειξη δομών. Τα πολλά μικρά components δείχνουν θορυβώδες edge map. Οι σημαντικές συνεχόμενες ακμές παραμένουν περιορισμένες. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι μέτρια (Jaccard 0.321).
665_low.png,665,665_high.png,Pipeline 3 - Retinex sigma 30,"sigma=30",Sobel,9308,3.87833333333333,1820,82.9120879120879,3.18681318681319,0.334458319271009,1.33409774974918,Pipeline 3 - Retinex sigma 30: Το πλήθος ακμών αυξάνεται ήπια και δείχνει καλύτερη ανάδειξη δομών. Τα πολλά μικρά components δείχνουν θορυβώδες edge map. Οι σημαντικές συνεχόμενες ακμές παραμένουν περιορισμένες. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι μέτρια (Jaccard 0.334).
665_low.png,665,665_high.png,Pipeline 3 - Retinex sigma 60,"sigma=60",Sobel,9182,3.82583333333333,1924,84.0956340956341,2.65072765072765,0.329210437139953,1.3160384119249,Pipeline 3 - Retinex sigma 60: Το πλήθος ακμών αυξάνεται ήπια και δείχνει καλύτερη ανάδειξη δομών. Τα πολλά μικρά components δείχνουν θορυβώδες edge map. Οι σημαντικές συνεχόμενες ακμές παραμένουν περιορισμένες. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι μέτρια (Jaccard 0.329).
665_low.png,665,665_high.png,Original low-light,"",Canny,32721,13.63375,628,16.2420382165605,46.8152866242038,0.334698055271238,1,Original low-light: Το πλήθος ακμών μένει κοντά στην αρχική low-light εικόνα. Το edge map έχει λιγότερα μικρά θραύσματα και φαίνεται πιο καθαρό. Οι μεγαλύτερες συνδεδεμένες ακμές βοηθούν στην ορατότητα σημαντικών αντικειμένων. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι μέτρια (Jaccard 0.335).
665_low.png,665,665_high.png,Pipeline 1 - Gamma + stretch,"gamma=0.6, full range stretch",Canny,35928,14.97,763,14.4167758846658,45.8715596330275,0.332109325183052,1.0980104520033,Pipeline 1 - Gamma + stretch: Το πλήθος ακμών μένει κοντά στην αρχική low-light εικόνα. Το edge map έχει λιγότερα μικρά θραύσματα και φαίνεται πιο καθαρό. Οι μεγαλύτερες συνδεδεμένες ακμές βοηθούν στην ορατότητα σημαντικών αντικειμένων. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι μέτρια (Jaccard 0.332).
665_low.png,665,665_high.png,Pipeline 2 - Median + CLAHE + unsharp,"median 3x3, CLAHE 8x8 clip 0.01, unsharp k=0.8",Canny,37822,15.7591666666667,782,14.4501278772379,46.1636828644501,0.25677904731252,1.15589376852786,Pipeline 2 - Median + CLAHE + unsharp: Το πλήθος ακμών αυξάνεται ήπια και δείχνει καλύτερη ανάδειξη δομών. Το edge map έχει λιγότερα μικρά θραύσματα και φαίνεται πιο καθαρό. Οι μεγαλύτερες συνδεδεμένες ακμές βοηθούν στην ορατότητα σημαντικών αντικειμένων. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι μέτρια (Jaccard 0.257).
665_low.png,665,665_high.png,Pipeline 3 - Retinex sigma 15,"sigma=15",Canny,39740,16.5583333333333,1005,25.4726368159204,33.7313432835821,0.263985396301967,1.21451055896825,Pipeline 3 - Retinex sigma 15: Το πλήθος ακμών αυξάνεται ήπια και δείχνει καλύτερη ανάδειξη δομών. Το edge map έχει λιγότερα μικρά θραύσματα και φαίνεται πιο καθαρό. Οι μεγαλύτερες συνδεδεμένες ακμές βοηθούν στην ορατότητα σημαντικών αντικειμένων. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι μέτρια (Jaccard 0.264).
665_low.png,665,665_high.png,Pipeline 3 - Retinex sigma 30,"sigma=30",Canny,38707,16.1279166666667,954,23.0607966457023,35.7442348008386,0.258306027206831,1.18294061917423,Pipeline 3 - Retinex sigma 30: Το πλήθος ακμών αυξάνεται ήπια και δείχνει καλύτερη ανάδειξη δομών. Το edge map έχει λιγότερα μικρά θραύσματα και φαίνεται πιο καθαρό. Οι μεγαλύτερες συνδεδεμένες ακμές βοηθούν στην ορατότητα σημαντικών αντικειμένων. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι μέτρια (Jaccard 0.258).
665_low.png,665,665_high.png,Pipeline 3 - Retinex sigma 60,"sigma=60",Canny,39412,16.4216666666667,1025,24.1951219512195,34.5365853658537,0.243512354185672,1.20448641545185,Pipeline 3 - Retinex sigma 60: Το πλήθος ακμών αυξάνεται ήπια και δείχνει καλύτερη ανάδειξη δομών. Το edge map έχει λιγότερα μικρά θραύσματα και φαίνεται πιο καθαρό. Οι μεγαλύτερες συνδεδεμένες ακμές βοηθούν στην ορατότητα σημαντικών αντικειμένων. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι μέτρια (Jaccard 0.244).
