Image,ImageNumber,HighReferenceImage,HighReferenceFound,MeanBrightness,IntensityVariance,StdContrast,MinIntensity,MaxIntensity,DarkPixelPercent,BrightPixelPercent,MichelsonContrast,HistogramComment
1_low.png,1,1_high.png,1,0.0966222409649935,0.00834562401104857,0.0913543869283165,0,0.392940768333529,87.1529166666667,0,0.999999999999999,"Το ιστόγραμμα είναι συγκεντρωμένο στις χαμηλές στάθμες, άρα η εικόνα είναι έντονα υποφωτισμένη. Η μικρή διασπορά δείχνει χαμηλή αντίθεση. Λίγα pixels βρίσκονται στις υψηλές στάθμες φωτεινότητας."
22_low.png,22,22_high.png,1,0.0759661094867342,0.00258203987708173,0.0508137764497162,0,0.298679439924572,99.9983333333333,0,0.999999999999999,"Το ιστόγραμμα είναι συγκεντρωμένο στις χαμηλές στάθμες, άρα η εικόνα είναι έντονα υποφωτισμένη. Η μικρή διασπορά δείχνει χαμηλή αντίθεση. Λίγα pixels βρίσκονται στις υψηλές στάθμες φωτεινότητας."
23_low.png,23,23_high.png,1,0.0376908221657444,0.000858123888289769,0.0292937516936593,0,0.179521834417761,100,0,0.999999999999999,"Το ιστόγραμμα είναι συγκεντρωμένο στις χαμηλές στάθμες, άρα η εικόνα είναι έντονα υποφωτισμένη. Η μικρή διασπορά δείχνει χαμηλή αντίθεση. Λίγα pixels βρίσκονται στις υψηλές στάθμες φωτεινότητας."
55_low.png,55,55_high.png,1,0.038170383408303,0.00101282469563537,0.0318249068440957,0,0.142028285648525,100,0,0.999999999999998,"Το ιστόγραμμα είναι συγκεντρωμένο στις χαμηλές στάθμες, άρα η εικόνα είναι έντονα υποφωτισμένη. Η μικρή διασπορά δείχνει χαμηλή αντίθεση. Λίγα pixels βρίσκονται στις υψηλές στάθμες φωτεινότητας."
79_low.png,79,79_high.png,1,0.0872326975731605,0.00161307258276021,0.0401630748668501,0,1,99.9616666666667,0.00333333333333333,1,"Το ιστόγραμμα είναι συγκεντρωμένο στις χαμηλές στάθμες, άρα η εικόνα είναι έντονα υποφωτισμένη. Η μικρή διασπορά δείχνει χαμηλή αντίθεση. Λίγα pixels βρίσκονται στις υψηλές στάθμες φωτεινότητας."
111_low.png,111,111_high.png,1,0.0756839856960276,0.00177595274129722,0.0421420543079857,0,0.487574207551777,99.6608333333333,0,1,"Το ιστόγραμμα είναι συγκεντρωμένο στις χαμηλές στάθμες, άρα η εικόνα είναι έντονα υποφωτισμένη. Η μικρή διασπορά δείχνει χαμηλή αντίθεση. Λίγα pixels βρίσκονται στις υψηλές στάθμες φωτεινότητας."
146_low.png,146,146_high.png,1,0.0955567379883775,0.0024945467576257,0.0499454378059267,0,0.32014572283102,99.9995833333333,0,0.999999999999999,"Το ιστόγραμμα είναι συγκεντρωμένο στις χαμηλές στάθμες, άρα η εικόνα είναι έντονα υποφωτισμένη. Η μικρή διασπορά δείχνει χαμηλή αντίθεση. Λίγα pixels βρίσκονται στις υψηλές στάθμες φωτεινότητας."
179_low.png,179,179_high.png,1,0.0780549838287873,0.000836272189842568,0.0289183711478113,0,0.509170706467747,99.9916666666667,0,1,"Το ιστόγραμμα είναι συγκεντρωμένο στις χαμηλές στάθμες, άρα η εικόνα είναι έντονα υποφωτισμένη. Η μικρή διασπορά δείχνει χαμηλή αντίθεση. Λίγα pixels βρίσκονται στις υψηλές στάθμες φωτεινότητας."
493_low.png,493,493_high.png,1,0.0251649663566211,0.000605195025164968,0.0246007118832965,0,0.116033813558695,100,0,0.999999999999998,"Το ιστόγραμμα είναι συγκεντρωμένο στις χαμηλές στάθμες, άρα η εικόνα είναι έντονα υποφωτισμένη. Η μικρή διασπορά δείχνει χαμηλή αντίθεση. Λίγα pixels βρίσκονται στις υψηλές στάθμες φωτεινότητας."
547_low.png,547,547_high.png,1,0.0620225796112242,0.000943074620568649,0.0307095200315578,0,0.147400168919416,100,0,0.999999999999998,"Το ιστόγραμμα είναι συγκεντρωμένο στις χαμηλές στάθμες, άρα η εικόνα είναι έντονα υποφωτισμένη. Η μικρή διασπορά δείχνει χαμηλή αντίθεση. Λίγα pixels βρίσκονται στις υψηλές στάθμες φωτεινότητας."
665_low.png,665,665_high.png,1,0.0340600344791864,0.00036819954737082,0.019188526451263,0,0.501851892073286,99.9991666666667,0,1,"Το ιστόγραμμα είναι συγκεντρωμένο στις χαμηλές στάθμες, άρα η εικόνα είναι έντονα υποφωτισμένη. Η μικρή διασπορά δείχνει χαμηλή αντίθεση. Λίγα pixels βρίσκονται στις υψηλές στάθμες φωτεινότητας."
669_low.png,669,669_high.png,1,0.0672875357807946,0.00113257305914704,0.0336537228125959,0,0.214380383103062,100,0,0.999999999999999,"Το ιστόγραμμα είναι συγκεντρωμένο στις χαμηλές στάθμες, άρα η εικόνα είναι έντονα υποφωτισμένη. Η μικρή διασπορά δείχνει χαμηλή αντίθεση. Λίγα pixels βρίσκονται στις υψηλές στάθμες φωτεινότητας."
748_low.png,748,748_high.png,1,0.0518469903033934,0.00126297787332468,0.0355383999826199,0,1,99.68875,0.0154166666666667,1,"Το ιστόγραμμα είναι συγκεντρωμένο στις χαμηλές στάθμες, άρα η εικόνα είναι έντονα υποφωτισμένη. Η μικρή διασπορά δείχνει χαμηλή αντίθεση. Λίγα pixels βρίσκονται στις υψηλές στάθμες φωτεινότητας."
778_low.png,778,778_high.png,1,0.0300412756751427,0.000901941279406528,0.030032337228503,0,0.829543076638991,99.9483333333333,0.00333333333333333,1,"Το ιστόγραμμα είναι συγκεντρωμένο στις χαμηλές στάθμες, άρα η εικόνα είναι έντονα υποφωτισμένη. Η μικρή διασπορά δείχνει χαμηλή αντίθεση. Λίγα pixels βρίσκονται στις υψηλές στάθμες φωτεινότητας."
780_low.png,780,780_high.png,1,0.0412207582219927,0.00299263299548136,0.0547049631704598,0,0.587104720650072,98.6308333333333,0,1,"Το ιστόγραμμα είναι συγκεντρωμένο στις χαμηλές στάθμες, άρα η εικόνα είναι έντονα υποφωτισμένη. Η μικρή διασπορά δείχνει χαμηλή αντίθεση. Λίγα pixels βρίσκονται στις υψηλές στάθμες φωτεινότητας."
