IntensityLevel,GrayCount,RedCount,GreenCount,BlueCount
0,4924,24951,5406,33594
1,21410,15570,13053,23558
2,12786,11678,12997,21450
3,9333,10674,9656,19734
4,8662,10372,7917,20099
5,9869,9801,7756,24063
6,11922,9769,9681,25503
7,13445,10671,12192,21074
8,15401,12380,15130,15790
9,18162,14137,17736,11798
10,18854,15121,18928,8722
11,19080,15862,18257,6123
12,18252,15991,17010,3687
13,17199,14945,15462,1943
14,14915,13458,14365,1123
15,11173,10968,13460,569
16,6436,8089,11739,274
17,3070,5429,8184,126
18,1680,3292,4471,79
19,1097,2111,2216,120
20,807,1444,1324,134
21,537,1095,961,184
22,391,837,733,112
23,285,564,509,58
24,179,307,405,20
25,69,194,252,8
26,10,86,111,3
27,6,52,30,3
28,3,48,10,2
29,2,41,4,4
30,1,25,2,5
31,3,10,2,4
32,3,1,2,1
33,1,2,1,0
34,1,1,3,2
35,2,2,1,0
36,2,1,1,3
37,0,1,2,0
38,1,1,1,4
39,3,0,1,3
40,3,2,1,0
41,0,0,2,1
42,1,1,2,2
43,0,1,0,1
44,3,0,2,0
45,1,2,2,2
46,1,1,2,2
47,1,2,1,0
48,1,0,1,0
49,0,2,1,0
50,1,2,1,0
51,0,1,0,2
52,2,0,2,1
53,1,0,0,0
54,0,0,0,1
55,0,2,1,0
56,1,1,0,2
57,1,1,1,1
58,1,0,1,2
59,2,0,1,0
60,0,0,0,1
61,0,0,0,0
62,0,0,0,0
63,1,0,2,1
64,1,0,1,1
65,1,0,1,0
66,0,0,0,0
67,0,0,1,0
68,0,0,1,0
69,0,0,1,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,0,0,0,0
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
126,0,1,0,0
127,0,0,0,0
128,1,0,1,0
129,0,0,0,0
130,0,0,0,0
131,0,0,0,0
132,0,0,0,0
133,0,0,0,1
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
142,0,0,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
160,0,0,0,0
161,0,0,0,0
162,0,0,0,0
163,0,0,0,0
164,0,0,0,0
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,0,0
176,0,0,0,0
177,0,0,0,0
178,0,0,0,0
179,0,0,0,0
180,0,0,0,0
181,0,0,0,0
182,0,0,0,0
183,0,0,0,0
184,0,0,0,0
185,0,0,0,0
186,0,0,0,0
187,0,0,0,0
188,0,0,0,0
189,0,0,0,0
190,0,0,0,0
191,0,0,0,0
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0,0,0
196,0,0,0,0
197,0,0,0,0
198,0,0,0,0
199,0,0,0,0
200,0,0,0,0
201,0,0,0,0
202,0,0,0,0
203,0,0,0,0
204,0,0,0,0
205,0,0,0,0
206,0,0,0,0
207,0,0,0,0
208,0,0,0,0
209,0,0,0,0
210,0,0,0,0
211,0,0,0,0
212,0,0,0,0
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0
217,0,0,0,0
218,0,0,0,0
219,0,0,0,0
220,0,0,0,0
221,0,0,0,0
222,0,0,0,0
223,0,0,0,0
224,0,0,0,0
225,0,0,0,0
226,0,0,0,0
227,0,0,0,0
228,0,0,0,0
229,0,0,0,0
230,0,0,0,0
231,0,0,0,0
232,0,0,0,0
233,0,0,0,0
234,0,0,0,0
235,0,0,0,0
236,0,0,0,0
237,0,0,0,0
238,0,0,0,0
239,0,0,0,0
240,0,0,0,0
241,0,0,0,0
242,0,0,0,0
243,0,0,0,0
244,0,0,0,0
245,0,0,0,0
246,0,0,0,0
247,0,0,0,0
248,0,0,0,0
249,0,0,0,0
250,0,0,0,0
251,0,0,0,0
252,0,0,0,0
253,0,0,0,0
254,0,0,0,0
255,0,0,0,0
