Image,ImageNumber,Pipeline,Parameter,MeanBrightness,StdContrast,EntropyValue,DarkPixelPercent,SaturatedPixelPercent,Comment
1_low.png,1,Original low-light,"",0.0966222409649935,0.0913545772505507,5.47584564857042,87.1529166666667,0,"Η αρχική εικόνα χρησιμοποιείται ως βάση σύγκρισης. Η μέση φωτεινότητα αλλάζει κατά 0.0000 και η αντίθεση κατά 0.0000. Η ενίσχυση παραμένει σχετικά ελεγχόμενη."
1_low.png,1,Pipeline 1 - Gamma + stretch,"gamma=0.6, full range stretch",0.351006514678164,0.213895300702567,7.0490883940705,46.40125,0,"Απλή και γρήγορη βελτίωση φωτεινότητας με gamma correction και άνοιγμα του δυναμικού εύρους. Η μέση φωτεινότητα αλλάζει κατά 0.2544 και η αντίθεση κατά 0.1225. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
1_low.png,1,Pipeline 2 - Median + CLAHE + unsharp,"median 3x3, CLAHE 8x8 clip 0.01, unsharp k=0.8",0.185710577745182,0.128707245050414,6.77530043851518,66.7125,0,"Πιο ισορροπημένη προσέγγιση, επειδή μειώνει θόρυβο, αυξάνει την τοπική αντίθεση και επαναφέρει λεπτομέρειες με unsharp masking. Η μέση φωτεινότητα αλλάζει κατά 0.0891 και η αντίθεση κατά 0.0374. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
1_low.png,1,Pipeline 3 - Retinex sigma 15,"sigma=15",0.562253780822698,0.145481659189799,7.00127662532183,3.6525,0.0295833333333333,"Η Retinex-like μέθοδος με sigma=15 εκτιμά τον φωτισμό με Gaussian smoothing και ενισχύει την τοπική αντίθεση. Η μέση φωτεινότητα αλλάζει κατά 0.4656 και η αντίθεση κατά 0.0541. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
1_low.png,1,Pipeline 3 - Retinex sigma 30,"sigma=30",0.549769589478104,0.147932452707668,7.05015404372132,4.26916666666667,0.02875,"Η Retinex-like μέθοδος με sigma=30 εκτιμά τον φωτισμό με Gaussian smoothing και ενισχύει την τοπική αντίθεση. Η μέση φωτεινότητα αλλάζει κατά 0.4531 και η αντίθεση κατά 0.0566. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
1_low.png,1,Pipeline 3 - Retinex sigma 60,"sigma=60",0.536717169429229,0.152151632560131,7.1270527960576,4.6675,0.02375,"Η Retinex-like μέθοδος με sigma=60 εκτιμά τον φωτισμό με Gaussian smoothing και ενισχύει την τοπική αντίθεση. Η μέση φωτεινότητα αλλάζει κατά 0.4401 και η αντίθεση κατά 0.0608. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
22_low.png,22,Original low-light,"",0.0759661094867342,0.0508138823120813,5.20647328645881,99.9983333333333,0,"Η αρχική εικόνα χρησιμοποιείται ως βάση σύγκρισης. Η μέση φωτεινότητα αλλάζει κατά 0.0000 και η αντίθεση κατά 0.0000. Η ενίσχυση παραμένει σχετικά ελεγχόμενη."
22_low.png,22,Pipeline 1 - Gamma + stretch,"gamma=0.6, full range stretch",0.399091469395086,0.198798532153605,7.16263350261261,29.4420833333333,0.000416666666666667,"Απλή και γρήγορη βελτίωση φωτεινότητας με gamma correction και άνοιγμα του δυναμικού εύρους. Η μέση φωτεινότητα αλλάζει κατά 0.3231 και η αντίθεση κατά 0.1480. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
22_low.png,22,Pipeline 2 - Median + CLAHE + unsharp,"median 3x3, CLAHE 8x8 clip 0.01, unsharp k=0.8",0.176291729746974,0.109181522533732,6.58648271514691,69.1179166666667,0,"Πιο ισορροπημένη προσέγγιση, επειδή μειώνει θόρυβο, αυξάνει την τοπική αντίθεση και επαναφέρει λεπτομέρειες με unsharp masking. Η μέση φωτεινότητα αλλάζει κατά 0.1003 και η αντίθεση κατά 0.0584. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
22_low.png,22,Pipeline 3 - Retinex sigma 15,"sigma=15",0.683807478398994,0.174705124347357,6.9405344671972,3.45791666666667,0.0391666666666667,"Η Retinex-like μέθοδος με sigma=15 εκτιμά τον φωτισμό με Gaussian smoothing και ενισχύει την τοπική αντίθεση. Η μέση φωτεινότητα αλλάζει κατά 0.6078 και η αντίθεση κατά 0.1239. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
22_low.png,22,Pipeline 3 - Retinex sigma 30,"sigma=30",0.681899461139559,0.182356216978083,7.02164414457297,3.87583333333333,0.05125,"Η Retinex-like μέθοδος με sigma=30 εκτιμά τον φωτισμό με Gaussian smoothing και ενισχύει την τοπική αντίθεση. Η μέση φωτεινότητα αλλάζει κατά 0.6059 και η αντίθεση κατά 0.1315. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
22_low.png,22,Pipeline 3 - Retinex sigma 60,"sigma=60",0.699691894782321,0.192448966354785,7.1196914360044,3.75958333333333,0.0533333333333333,"Η Retinex-like μέθοδος με sigma=60 εκτιμά τον φωτισμό με Gaussian smoothing και ενισχύει την τοπική αντίθεση. Η μέση φωτεινότητα αλλάζει κατά 0.6237 και η αντίθεση κατά 0.1416. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
