IntensityLevel,GrayCount,RedCount,GreenCount,BlueCount
0,1099,8372,292,7266
1,3553,7538,1602,14473
2,6474,7953,3756,17965
3,9711,8179,6846,18209
4,11010,7678,10779,14836
5,11766,7318,13910,11632
6,13090,7224,16192,10103
7,13587,7521,15077,9874
8,12273,7661,12722,8903
9,10716,7559,10680,7397
10,9963,7376,9581,6038
11,9729,7612,8973,4824
12,8911,7935,8320,4119
13,7304,7883,7234,3344
14,5847,7628,5986,2778
15,4457,7137,4694,2322
16,3417,6273,3661,1846
17,2867,5423,3194,1606
18,2464,4415,2698,1385
19,2051,3581,2334,1155
20,1849,2978,2044,1139
21,1897,2919,1890,1100
22,1813,2612,1607,1156
23,1537,2431,1412,978
24,1353,2211,1369,864
25,1208,1878,1369,819
26,1115,1607,1370,717
27,1019,1443,1196,709
28,872,1362,972,678
29,717,1547,919,663
30,630,1997,778,691
31,595,2964,717,688
32,574,4156,568,598
33,629,5299,515,611
34,604,6246,547,583
35,603,5968,510,520
36,568,5249,497,512
37,533,3934,550,462
38,520,2910,472,441
39,548,2011,412,474
40,736,1360,420,558
41,1795,1025,417,685
42,3978,794,517,702
43,5365,570,814,724
44,5254,443,1857,561
45,4593,342,3757,434
46,4301,297,4906,356
47,4080,365,4687,326
48,3022,585,4221,367
49,1615,953,3836,391
50,882,1565,3787,484
51,770,2302,3383,791
52,803,3012,2418,1439
53,744,3903,1216,2272
54,542,4501,800,3091
55,354,4386,708,4086
56,168,3478,727,4240
57,117,2282,668,3473
58,102,1335,538,3376
59,98,732,347,3270
60,87,630,175,3089
61,95,479,122,2841
62,97,313,92,1964
63,96,205,96,1180
64,113,78,89,822
65,139,38,75,599
66,226,14,80,534
67,609,5,99,465
68,1329,2,75,376
69,2406,1,102,256
70,3382,3,124,152
71,4474,2,221,100
72,5183,2,464,78
73,5099,0,1044,89
74,3651,2,2160,84
75,1537,1,3547,64
76,597,1,4545,79
77,423,3,4908,78
78,419,1,4440,68
79,451,1,3949,63
80,442,1,2215,55
81,275,0,869,58
82,52,0,461,71
83,7,0,388,60
84,3,0,342,84
85,1,0,416,73
86,2,0,396,94
87,1,0,186,135
88,1,0,27,341
89,2,0,5,837
90,0,0,1,1593
91,2,0,3,2515
92,0,0,2,3289
93,0,0,2,4108
94,1,0,0,4640
95,1,0,0,4539
96,2,0,2,3579
97,0,0,0,1952
98,1,0,2,867
99,1,0,0,454
100,1,0,0,401
101,0,0,1,448
102,0,0,2,387
103,0,0,1,223
104,0,0,0,83
105,0,0,0,18
106,0,0,1,5
107,0,0,0,0
108,0,0,2,1
109,0,0,0,0
110,0,0,0,1
111,0,0,0,1
112,0,0,0,0
113,0,0,0,1
114,0,0,0,1
115,0,0,0,0
116,0,0,0,1
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
126,0,0,0,0
127,0,0,0,0
128,0,0,0,0
129,0,0,0,0
130,0,0,0,0
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
142,0,0,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
160,0,0,0,0
161,0,0,0,0
162,0,0,0,0
163,0,0,0,0
164,0,0,0,0
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,0,0
176,0,0,0,0
177,0,0,0,0
178,0,0,0,0
179,0,0,0,0
180,0,0,0,0
181,0,0,0,0
182,0,0,0,0
183,0,0,0,0
184,0,0,0,0
185,0,0,0,0
186,0,0,0,0
187,0,0,0,0
188,0,0,0,0
189,0,0,0,0
190,0,0,0,0
191,0,0,0,0
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0,0,0
196,0,0,0,0
197,0,0,0,0
198,0,0,0,0
199,0,0,0,0
200,0,0,0,0
201,0,0,0,0
202,0,0,0,0
203,0,0,0,0
204,0,0,0,0
205,0,0,0,0
206,0,0,0,0
207,0,0,0,0
208,0,0,0,0
209,0,0,0,0
210,0,0,0,0
211,0,0,0,0
212,0,0,0,0
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0
217,0,0,0,0
218,0,0,0,0
219,0,0,0,0
220,0,0,0,0
221,0,0,0,0
222,0,0,0,0
223,0,0,0,0
224,0,0,0,0
225,0,0,0,0
226,0,0,0,0
227,0,0,0,0
228,0,0,0,0
229,0,0,0,0
230,0,0,0,0
231,0,0,0,0
232,0,0,0,0
233,0,0,0,0
234,0,0,0,0
235,0,0,0,0
236,0,0,0,0
237,0,0,0,0
238,0,0,0,0
239,0,0,0,0
240,0,0,0,0
241,0,0,0,0
242,0,0,0,0
243,0,0,0,0
244,0,0,0,0
245,0,0,0,0
246,0,0,0,0
247,0,0,0,0
248,0,0,0,0
249,0,0,0,0
250,0,0,0,0
251,0,0,0,0
252,0,0,0,0
253,0,0,0,0
254,0,0,0,0
255,0,0,0,0
