Image,ImageNumber,HighReferenceImage,Pipeline,Parameter,MSEToHigh,PSNRToHigh,MeanBrightness,StdContrast,MichelsonContrast,EntropyValue,Comment
1_low.png,1,1_high.png,Original low-light,"",0.189699939724038,7.21932807105654,0.0966222409649935,0.0913545772505507,0.999999999999999,5.47584564857042,"Αρχική low-light εικόνα για βάση σύγκρισης. Το PSNR είναι χαμηλό (7.22 dB), άρα το αποτέλεσμα απέχει αρκετά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.0966, τυπική απόκλιση 0.0914, Michelson 1.0000, entropy 5.4758. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
1_low.png,1,1_high.png,Pipeline 1 - Gamma + stretch,"gamma=0.6, full range stretch",0.0257706741210646,15.8887422082708,0.351004134484726,0.213899520979196,1,7.04874657328847,"Το PSNR είναι μέτριο (15.89 dB), άρα υπάρχει βελτίωση αλλά και διαφορά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.3510, τυπική απόκλιση 0.2139, Michelson 1.0000, entropy 7.0487. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
1_low.png,1,1_high.png,Pipeline 2 - Median + CLAHE + unsharp,"median 3x3, CLAHE 8x8 clip 0.01, unsharp k=0.8",0.118340788286557,9.26865542145694,0.185709538639748,0.128704892562296,1,6.77553029564907,"Το PSNR είναι χαμηλό (9.27 dB), άρα το αποτέλεσμα απέχει αρκετά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.1857, τυπική απόκλιση 0.1287, Michelson 1.0000, entropy 6.7755. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
1_low.png,1,1_high.png,Pipeline 3 - Retinex sigma 15,"sigma=15",0.061392489192191,12.1188475755443,0.562251779332998,0.145485041292989,1,7.00162803626321,"Το PSNR είναι χαμηλό (12.12 dB), άρα το αποτέλεσμα απέχει αρκετά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.5623, τυπική απόκλιση 0.1455, Michelson 1.0000, entropy 7.0016. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
1_low.png,1,1_high.png,Pipeline 3 - Retinex sigma 30,"sigma=30",0.0554932225212525,12.557600547396,0.549769890696366,0.147935726880979,1,7.05018481012101,"Το PSNR είναι χαμηλό (12.56 dB), άρα το αποτέλεσμα απέχει αρκετά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.5498, τυπική απόκλιση 0.1479, Michelson 1.0000, entropy 7.0502. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
1_low.png,1,1_high.png,Pipeline 3 - Retinex sigma 60,"sigma=60",0.0475907550514759,13.2247740484427,0.536718820755045,0.152153303504568,1,7.12695436867393,"Το PSNR είναι χαμηλό (13.22 dB), άρα το αποτέλεσμα απέχει αρκετά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.5367, τυπική απόκλιση 0.1522, Michelson 1.0000, entropy 7.1270. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
22_low.png,22,22_high.png,Original low-light,"",0.245068791298219,6.1071199119569,0.0759661094867342,0.0508138823120813,0.999999999999999,5.20647328645881,"Αρχική low-light εικόνα για βάση σύγκρισης. Το PSNR είναι χαμηλό (6.11 dB), άρα το αποτέλεσμα απέχει αρκετά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.0760, τυπική απόκλιση 0.0508, Michelson 1.0000, entropy 5.2065. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
22_low.png,22,22_high.png,Pipeline 1 - Gamma + stretch,"gamma=0.6, full range stretch",0.0215423403178266,16.6670711756975,0.399243229751466,0.198842023533987,1,7.16727741209543,"Το PSNR είναι μέτριο (16.67 dB), άρα υπάρχει βελτίωση αλλά και διαφορά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.3992, τυπική απόκλιση 0.1988, Michelson 1.0000, entropy 7.1673. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
22_low.png,22,22_high.png,Pipeline 2 - Median + CLAHE + unsharp,"median 3x3, CLAHE 8x8 clip 0.01, unsharp k=0.8",0.149266923213294,8.26036419049526,0.176290141226876,0.109185527340446,1,6.58739251150074,"Το PSNR είναι χαμηλό (8.26 dB), άρα το αποτέλεσμα απέχει αρκετά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.1763, τυπική απόκλιση 0.1092, Michelson 1.0000, entropy 6.5874. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
22_low.png,22,22_high.png,Pipeline 3 - Retinex sigma 15,"sigma=15",0.0516405341321714,12.8700927435575,0.683813616889846,0.174713385687089,1,6.94022087598884,"Το PSNR είναι χαμηλό (12.87 dB), άρα το αποτέλεσμα απέχει αρκετά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.6838, τυπική απόκλιση 0.1747, Michelson 1.0000, entropy 6.9402. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
