Image,ImageNumber,HighReferenceImage,NoiseType,Stage,Method,Sequence,Parameters,MSE,PSNR,MAE,StdContrast,GradientMean,GradientRatio,EdgeCorrelation,DarkPixelPercent,SaturatedPixelPercent,Comment
547_low.png,547,547_high.png,Gaussian noise,Noisy image,No filtering,,"",0.00354895244258922,24.4989982033667,0.0469125630093659,0.0462630691225819,0.0218091257497041,4.49027171646683,0.148753123308849,99.965,0,"Εικόνα μετά την τεχνητή προσθήκη θορύβου."
547_low.png,547,547_high.png,Gaussian noise,Denoising,Mean filter,filter only,"3x3 average kernel",0.000586197083991522,32.3195634626869,0.019329385575045,0.027060054630144,0.00880407695261882,1.81266769624996,0.308706677817269,100,0,"Το φίλτρο μειώνει αισθητά τον θόρυβο, με κέρδος PSNR 7.82 dB. Οι ακμές παραμένουν έντονες, αλλά μπορεί να παραμένει και θόρυβος. Το mean filter εξομαλύνει τον θόρυβο αλλά συχνά θολώνει περισσότερο τις λεπτομέρειες."
547_low.png,547,547_high.png,Gaussian noise,Denoising,Gaussian filter,filter only,"sigma=1.0, filter size=5",0.000485886310123073,33.1346533703858,0.0176278581784966,0.0261444929725218,0.00778866308697954,1.60360456305902,0.332344050902768,100,0,"Το φίλτρο μειώνει αισθητά τον θόρυβο, με κέρδος PSNR 8.64 dB. Οι ακμές παραμένουν έντονες, αλλά μπορεί να παραμένει και θόρυβος. Το Gaussian filter είναι φυσική επιλογή για Gaussian θόρυβο."
547_low.png,547,547_high.png,Gaussian noise,Denoising,Median filter,filter only,"3x3 median",0.000820821296881969,30.8575138395944,0.0226907865584901,0.0334992256202691,0.011901602835319,2.45041599582595,0.249212162681564,100,0,"Το φίλτρο μειώνει αισθητά τον θόρυβο, με κέρδος PSNR 6.36 dB. Οι ακμές παραμένουν έντονες, αλλά μπορεί να παραμένει και θόρυβος. Η καταλληλότητα εξαρτάται από το είδος του θορύβου και τη λεπτομέρεια της εικόνας."
547_low.png,547,547_high.png,Gaussian noise,Denoising,Wiener filter,filter only,"5x5 adaptive Wiener",0.000498767873602808,33.0210152786061,0.0173025759934423,0.0260738162739073,0.00590478963178147,1.21573465069477,0.29824334632277,100,0,"Το φίλτρο μειώνει αισθητά τον θόρυβο, με κέρδος PSNR 8.52 dB. Η ένταση των ακμών διατηρείται σε λογικά επίπεδα. Το Wiener filter προσαρμόζεται στην τοπική διακύμανση της εικόνας."
547_low.png,547,547_high.png,Gaussian noise,Final enhanced image,Gaussian filter,denoise -> enhance,"gamma 0.6 + contrast stretch",0.0127699100434939,18.9381216207502,0.0870357638253715,0.126847644916541,0.0382762118952599,1.50527362883277,0.335372391155774,1.80708333333333,0,"Η σειρά πρώτα αποθορυβοποίηση και μετά ενίσχυση δίνει καλύτερη ποσοτική προσέγγιση στην καθαρή βελτιωμένη εικόνα. Για Gaussian noise με Gaussian filter, το PSNR είναι 18.94 dB."
547_low.png,547,547_high.png,Gaussian noise,Final enhanced image,Gaussian filter,enhance -> denoise,"gamma 0.6 + contrast stretch",0.0390176808551604,14.0873854790252,0.177504698859761,0.084889007393244,0.025435310187383,1.00028450493008,0.326733008481071,32.5791666666667,0,"Η σειρά πρώτα αποθορυβοποίηση και μετά ενίσχυση δίνει καλύτερη ποσοτική προσέγγιση στην καθαρή βελτιωμένη εικόνα. Για Gaussian noise με Gaussian filter, το PSNR είναι 14.09 dB."
547_low.png,547,547_high.png,Gaussian noise,Final enhanced image,Median filter,denoise -> enhance,"gamma 0.6 + contrast stretch",0.0226059852661479,16.4577655979419,0.115962359208769,0.161785514855641,0.0578787725327331,2.27617587135164,0.278373807929872,16.4283333333333,0,"Η σειρά πρώτα αποθορυβοποίηση και μετά ενίσχυση δίνει καλύτερη ποσοτική προσέγγιση στην καθαρή βελτιωμένη εικόνα. Για Gaussian noise με Median filter, το PSNR είναι 16.46 dB."
547_low.png,547,547_high.png,Gaussian noise,Final enhanced image,Median filter,enhance -> denoise,"gamma 0.6 + contrast stretch",0.0413326650412901,13.8370659144194,0.176032708688858,0.114507646839402,0.040965113907694,1.61101902759135,0.278373807929872,31.9970833333333,0,"Η σειρά πρώτα αποθορυβοποίηση και μετά ενίσχυση δίνει καλύτερη ποσοτική προσέγγιση στην καθαρή βελτιωμένη εικόνα. Για Gaussian noise με Median filter, το PSNR είναι 13.84 dB."
547_low.png,547,547_high.png,Salt & Pepper noise,Noisy image,No filtering,,"",0.0221823879490794,16.5399170357525,0.0250147766884532,0.102539948773999,0.0377255079689898,7.76728894897573,0.0697118155997958,95.0591666666667,0.000833333333333333,"Εικόνα μετά την τεχνητή προσθήκη θορύβου."
