"Image","ImageNumber","HighReferenceImage","NoiseType","Stage","Method","Sequence","Parameters","MSE","PSNR","MAE","StdContrast","GradientMean","GradientRatio","EdgeCorrelation","DarkPixelPercent","SaturatedPixelPercent","Comment"
"146_low.png","146","146_high.png","Gaussian noise","Noisy image","No filtering","","","0.0040996453588703","23.8725371043812","0.0499006629965033","0.0592429208996784","0.0238998814574909","3.91015828741258","0.239471909840321","99.5204166666667","0","Εικόνα μετά την τεχνητή προσθήκη θορύβου."
"146_low.png","146","146_high.png","Gaussian noise","Denoising","Mean filter","filter only","3x3 average kernel","0.000686706244492688","31.6322900337558","0.0209520096003411","0.0428282522682807","0.00987729859380054","1.61598295047997","0.398946851369223","100","0","Το φίλτρο μειώνει αισθητά τον θόρυβο, με κέρδος PSNR 7.76 dB. Οι ακμές παραμένουν έντονες, αλλά μπορεί να παραμένει και θόρυβος. Το mean filter εξομαλύνει τον θόρυβο αλλά συχνά θολώνει περισσότερο τις λεπτομέρειες."
"146_low.png","146","146_high.png","Gaussian noise","Denoising","Gaussian filter","filter only","sigma=1.0, filter size=5","0.000563912566423079","32.4878822733505","0.0190130950906232","0.0421168258015598","0.00879034024013553","1.43815030213755","0.433952092198067","100","0","Το φίλτρο μειώνει αισθητά τον θόρυβο, με κέρδος PSNR 8.62 dB. Οι ακμές παραμένουν έντονες, αλλά μπορεί να παραμένει και θόρυβος. Το Gaussian filter είναι φυσική επιλογή για Gaussian θόρυβο."
"146_low.png","146","146_high.png","Gaussian noise","Denoising","Median filter","filter only","3x3 median","0.000890140950741204","30.5054121888054","0.0231858011840311","0.0496514684540693","0.0123615797979895","2.02242566677965","0.380992360740018","100","0","Το φίλτρο μειώνει αισθητά τον θόρυβο, με κέρδος PSNR 6.63 dB. Οι ακμές παραμένουν έντονες, αλλά μπορεί να παραμένει και θόρυβος. Η καταλληλότητα εξαρτάται από το είδος του θορύβου και τη λεπτομέρεια της εικόνας."
"146_low.png","146","146_high.png","Gaussian noise","Denoising","Wiener filter","filter only","5x5 adaptive Wiener","0.000598712272086488","32.2278183982522","0.0192349609382475","0.041966752703134","0.00690478934421535","1.12966331339939","0.343674502386044","99.9995833333333","0","Το φίλτρο μειώνει αισθητά τον θόρυβο, με κέρδος PSNR 8.36 dB. Η ένταση των ακμών διατηρείται σε λογικά επίπεδα. Το Wiener filter προσαρμόζεται στην τοπική διακύμανση της εικόνας."
"146_low.png","146","146_high.png","Gaussian noise","Final enhanced image","Gaussian filter","denoise -> enhance","gamma 0.6 + contrast stretch","0.0751566103676278","11.2403281521109","0.260570387734414","0.161676365138489","0.0323100344899184","2.37917575414767","0.477237084327515","7.16958333333333","0","Η σειρά πρώτα ενίσχυση και μετά αποθορυβοποίηση δίνει καλύτερη ποσοτική προσέγγιση στην καθαρή βελτιωμένη εικόνα. Για Gaussian noise με Gaussian filter, το PSNR είναι 11.24 dB."
"146_low.png","146","146_high.png","Gaussian noise","Final enhanced image","Gaussian filter","enhance -> denoise","gamma 0.6 + contrast stretch","0.00255456769299928","25.9268258454307","0.0391173657287965","0.0912755208157009","0.0180887598363968","1.33198059069804","0.490340603894809","35.5329166666667","0","Η σειρά πρώτα ενίσχυση και μετά αποθορυβοποίηση δίνει καλύτερη ποσοτική προσέγγιση στην καθαρή βελτιωμένη εικόνα. Για Gaussian noise με Gaussian filter, το PSNR είναι 25.93 dB."
"146_low.png","146","146_high.png","Gaussian noise","Final enhanced image","Median filter","denoise -> enhance","gamma 0.6 + contrast stretch","0.0618328475090683","12.087807530321","0.22442509991946","0.196566346130669","0.0461131719537263","3.39558104443933","0.433976830452709","17.1258333333333","0","Η σειρά πρώτα ενίσχυση και μετά αποθορυβοποίηση δίνει καλύτερη ποσοτική προσέγγιση στην καθαρή βελτιωμένη εικόνα. Για Gaussian noise με Median filter, το PSNR είναι 12.09 dB."
"146_low.png","146","146_high.png","Gaussian noise","Final enhanced image","Median filter","enhance -> denoise","gamma 0.6 + contrast stretch","0.00410525102338623","23.8666028197004","0.0491215043013118","0.110379213209235","0.0258942374370175","1.90674330296731","0.433976830452709","32.5504166666667","0","Η σειρά πρώτα ενίσχυση και μετά αποθορυβοποίηση δίνει καλύτερη ποσοτική προσέγγιση στην καθαρή βελτιωμένη εικόνα. Για Gaussian noise με Median filter, το PSNR είναι 23.87 dB."
"146_low.png","146","146_high.png","Salt & Pepper noise","Noisy image","No filtering","","","0.020965059635183","16.7850389790653","0.0251193246187364","0.106989612535737","0.0383751555922202","6.27839652412319","0.11601741059271","94.9783333333333","0.00125","Εικόνα μετά την τεχνητή προσθήκη θορύβου."
