IntensityLevel,InputHistogram,InputCDF,GlobalEqualizedHistogram,CLAHE_4x4_clip_0_01_Histogram,CLAHE_8x8_clip_0_01_Histogram,CLAHE_8x8_clip_0_03_Histogram,CLAHE_16x16_clip_0_01_Histogram
0,10659,0.0444125,0,0,2,7,0
1,29695,0.168141666666667,0,3,39,45,12
2,23872,0.267608333333333,0,282,549,91,516
3,14589,0.328395833333333,0,10413,10130,83,10162
4,11788,0.3775125,0,8,66,208,216
5,13155,0.432325,0,391,847,554,817
6,12128,0.482858333333333,0,7556,4649,887,3921
7,10702,0.52745,0,21857,24422,2390,25439
8,9637,0.567604166666667,0,592,754,6878,1145
9,10178,0.6100125,0,1417,2704,86,3237
10,9482,0.649520833333333,0,21939,20608,406,20145
11,8058,0.683095833333333,10659,96,593,712,1130
12,6648,0.710795833333333,0,362,1729,1065,2002
13,5367,0.733158333333333,0,5978,3431,1595,3186
14,5179,0.7547375,0,8382,9605,2290,9481
15,4839,0.7749,0,178,1093,2672,1272
16,4155,0.7922125,0,1074,1731,5863,2279
17,3506,0.806820833333333,0,10813,9249,16262,3532
18,4116,0.823970833333333,0,280,1165,724,6808
19,4064,0.840904166666667,0,623,1478,1303,1982
20,4018,0.857645833333333,0,2817,3325,1518,3455
21,3718,0.8731375,0,9877,8089,1991,8328
22,3962,0.889645833333333,0,403,1365,2703,1390
23,3819,0.905558333333333,0,1181,1717,3488,2662
24,3185,0.918829166666667,0,10432,9190,3441,3789
25,2706,0.930104166666667,0,500,980,5993,6555
26,2520,0.940604166666667,0,608,1392,4840,1896
27,2741,0.952025,0,1404,1933,1064,2967
28,2788,0.963641666666667,0,8336,7205,1034,4951
29,2762,0.97515,0,554,1302,1138,4117
30,2297,0.984720833333333,0,850,1590,1655,2510
31,1643,0.991566666666667,0,8324,2800,2385,3550
32,1049,0.9959375,0,556,5528,1967,5799
33,539,0.998183333333333,0,706,1919,2170,2511
34,240,0.999183333333333,0,1278,1854,4192,3050
35,117,0.999670833333333,0,7987,5966,781,4029
36,59,0.999916666666667,0,555,1624,823,4756
37,14,0.999975,0,735,1646,1022,2683
38,5,0.999995833333333,0,3473,2162,1510,3325
39,0,0.999995833333333,0,4746,4805,1795,5382
40,0,0.999995833333333,0,682,1524,1657,2536
41,1,1,0,1106,1858,1878,2809
42,0,1,0,5931,4471,2110,3142
43,0,1,29695,617,1207,3232,4037
44,0,1,0,874,1846,1314,2551
45,0,1,0,2650,2214,1161,2482
46,0,1,0,2812,3076,1260,3016
47,0,1,0,893,1353,1181,2840
48,0,1,0,1146,2022,1462,2279
49,0,1,0,3427,3106,1965,2366
50,0,1,0,693,1280,1949,2650
51,0,1,0,953,1786,2543,1991
52,0,1,0,1503,2173,3119,1948
53,0,1,0,2331,2649,1041,2145
54,0,1,0,696,1852,1119,1979
55,0,1,0,973,1988,1069,1658
56,0,1,0,3091,2113,1139,1681
57,0,1,0,663,2439,1579,1753
58,0,1,0,886,1863,1890,1402
59,0,1,0,1856,1834,2091,1375
60,0,1,0,1973,2221,3762,1316
61,0,1,0,762,1862,1064,1196
62,0,1,0,1524,1708,1029,1036
63,0,1,0,2217,1691,1167,1081
64,0,1,0,756,1624,1251,958
65,0,1,0,1050,1553,1295,877
66,0,1,0,2577,1356,1603,825
67,0,1,0,1155,1248,1877,785
68,0,1,23872,796,1425,2060,757
69,0,1,0,1920,1171,2862,703
70,0,1,0,1822,1053,1089,617
71,0,1,0,917,1101,1161,556
72,0,1,0,1379,1037,1305,504
73,0,1,0,1379,906,1351,454
74,0,1,0,1442,926,1551,406
75,0,1,0,971,905,1617,356
76,0,1,0,1203,791,1809,371
77,0,1,0,1354,678,1903,310
