IntensityLevel,InputHistogram,InputCDF,GlobalEqualizedHistogram,CLAHE_4x4_clip_0_01_Histogram,CLAHE_8x8_clip_0_01_Histogram,CLAHE_8x8_clip_0_03_Histogram,CLAHE_16x16_clip_0_01_Histogram
0,1619,0.00674583333333333,0,0,0,6,0
1,3769,0.02245,0,17,8,20,7
2,2472,0.03275,1619,87,100,80,18
3,1742,0.0400083333333333,0,1669,1558,111,328
4,1612,0.046725,0,155,218,186,1400
5,1581,0.0533125,0,1462,842,219,241
6,1687,0.0603416666666667,3769,2380,1621,512,664
7,2290,0.0698833333333333,0,657,2078,632,3358
8,3268,0.0835,2472,1123,798,1213,445
9,4014,0.100225,0,1316,1091,469,644
10,5853,0.1246125,1742,1243,1445,449,685
11,7700,0.156695833333333,0,885,977,447,2218
12,9958,0.1981875,1612,989,1099,842,865
13,12199,0.249016666666667,0,1660,1441,767,902
14,13990,0.307308333333333,1581,1411,1294,842,1945
15,14424,0.367408333333333,1687,1079,1396,1299,1322
16,14284,0.426925,0,1965,1916,1610,1588
17,12480,0.478925,0,1439,2038,1426,1919
18,10179,0.5213375,2290,1703,1717,797,2671
19,7862,0.554095833333333,0,1798,2223,748,2430
20,6756,0.582245833333333,0,1869,2904,990,2659
21,6520,0.6094125,3268,2547,2458,1168,3289
22,6660,0.6371625,0,1788,2867,1303,3690
23,7162,0.667004166666667,0,2746,3253,1143,3935
24,6962,0.6960125,0,2149,4004,1178,4241
25,6655,0.723741666666667,0,3054,3661,1406,4745
26,6034,0.748883333333333,4014,2929,3896,1169,4878
27,5406,0.771408333333333,0,2894,4874,1231,5261
28,4853,0.791629166666667,0,3409,4146,1093,5296
29,4245,0.809316666666667,0,3843,4520,1580,5748
30,3778,0.825058333333333,0,3849,4482,1659,5773
31,3328,0.838925,0,3140,5284,1428,5680
32,3289,0.852629166666667,5853,4385,4554,1375,5627
33,3149,0.86575,0,4002,4588,1524,5632
34,3091,0.878629166666667,0,3690,5239,1594,5566
35,3505,0.893233333333333,0,3896,4372,1610,5279
36,3442,0.907575,0,4556,4741,1600,5012
37,3350,0.921533333333333,0,4367,4698,1698,4987
38,3104,0.934466666666667,0,3487,4286,2305,4790
39,2709,0.945754166666667,0,4293,4013,2043,4343
40,2196,0.954904166666667,7700,3843,4135,1794,3982
41,1992,0.963204166666667,0,3626,4277,1782,4058
42,1683,0.970216666666667,0,3043,3176,1965,3711
43,1332,0.975766666666667,0,3751,3789,1928,3318
44,1035,0.980079166666667,0,3760,3517,1970,3444
45,800,0.9834125,0,2658,3154,2060,3256
46,716,0.986395833333333,0,2938,3096,2442,2961
47,552,0.988695833333333,0,2803,2969,2366,2920
