IntensityLevel,InputHistogram,InputCDF,GlobalEqualizedHistogram,CLAHE_4x4_clip_0_01_Histogram,CLAHE_8x8_clip_0_01_Histogram,CLAHE_8x8_clip_0_03_Histogram,CLAHE_16x16_clip_0_01_Histogram
0,555,0.0023125,555,20,15,43,2
1,2342,0.0120708333333333,0,127,84,108,66
2,4162,0.0294125,0,434,162,178,170
3,5800,0.0535791666666667,2342,283,595,330,467
4,7261,0.0838333333333333,0,589,300,218,349
5,7982,0.117091666666667,0,1000,636,311,618
6,8598,0.152916666666667,0,1669,1335,476,1008
7,9337,0.191820833333333,4162,916,1695,542,1856
8,10089,0.233858333333333,0,1167,1033,411,1185
9,12288,0.285058333333333,0,2818,1497,514,1787
10,15231,0.348520833333333,0,1763,3592,547,3221
11,18551,0.425816666666667,0,1715,1837,788,2127
12,20075,0.5094625,0,3138,2020,734,2306
13,18506,0.586570833333333,5800,2953,3247,720,3468
14,15246,0.650095833333333,0,2430,4369,944,3951
15,12401,0.701766666666667,0,3359,3373,1235,3684
16,10988,0.74755,0,4248,3924,975,4449
17,9934,0.788941666666667,0,3641,5586,856,5472
18,9380,0.828025,0,4096,5332,1019,5642
19,8545,0.863629166666667,0,4872,5073,1278,6058
20,6800,0.8919625,0,4976,6030,1570,6865
21,4534,0.910854166666667,7261,4849,7446,1538,7304
22,2875,0.922833333333333,0,4931,6466,1504,7418
23,1950,0.930958333333333,0,5755,6645,1852,8093
24,1471,0.9370875,0,5521,7618,1663,7952
25,1148,0.941870833333333,0,5443,7904,1673,8247
26,998,0.946029166666667,0,5138,6386,1659,8215
27,807,0.949391666666667,0,5551,7084,2158,7778
28,742,0.952483333333333,0,5228,7377,2605,7411
29,669,0.955270833333333,7982,5586,6338,2789,7595
30,575,0.957666666666667,0,4727,5516,2495,7055
31,429,0.959454166666667,0,5077,6181,2457,5989
32,344,0.9608875,0,5030,5252,2671,6254
33,349,0.962341666666667,0,5037,4753,2633,6069
34,316,0.963658333333333,0,4330,4912,2864,5411
35,310,0.96495,0,3921,4535,3064,4824
36,324,0.9663,0,5324,3869,3346,4997
37,273,0.9674375,0,4369,4090,3775,4706
38,236,0.968420833333333,0,3550,4853,3508,4039
39,200,0.969254166666667,8598,4478,3544,3064,4004
40,181,0.970008333333333,0,5165,3612,3466,3802
41,196,0.970825,0,3937,4215,3357,3376
42,181,0.971579166666667,0,3315,4046,3328,3073
43,168,0.972279166666667,0,5262,2881,3656,2990
44,173,0.973,0,4196,3419,3865,2806
45,181,0.973754166666667,0,3253,3940,3878,2605
46,178,0.974495833333333,0,4006,2619,3893,2445
47,194,0.975304166666667,0,4070,2391,3547,2186
48,221,0.976225,0,3133,2677,3411,2130
49,184,0.976991666666667,9337,2832,2441,3426,1865
50,202,0.977833333333333,0,3446,1895,3274,1843
51,177,0.978570833333333,0,3255,1901,3426,1659
52,178,0.9793125,0,2393,1830,3369,1672
53,134,0.979870833333333,0,2431,1539,3482,1386
54,137,0.980441666666667,0,3018,1500,3529,1277
55,135,0.981004166666667,0,2150,1584,3404,1270
56,141,0.981591666666667,0,1774,1351,3212,1077
57,134,0.98215,0,1939,1308,2932,957
58,107,0.982595833333333,0,2344,1370,3063,847
59,126,0.983120833333333,10089,1553,1125,3106,842
60,111,0.983583333333333,0,1387,1001,3120,713
61,100,0.984,0,1878,1235,2723,632
62,96,0.9844,0,1443,1213,2761,623
63,98,0.984808333333333,0,1163,835,2731,589
64,91,0.9851875,0,1251,774,3044,525
65,78,0.9855125,0,1636,1413,2502,498
66,83,0.985858333333333,0,1243,947,2582,529
67,67,0.9861375,0,1003,643,2586,458
68,72,0.9864375,0,1338,880,2483,453
69,72,0.9867375,0,1120,1109,2423,421
70,62,0.986995833333333,0,1057,585,2145,408
71,46,0.9871875,0,818,514,2015,405
72,48,0.9873875,12288,944,997,2157,414
73,58,0.987629166666667,0,927,649,2227,403
74,53,0.98785,0,749,457,1870,398
75,43,0.988029166666667,0,756,890,1872,312
76,41,0.9882,0,715,486,1859,377
77,48,0.9884,0,792,431,1752,331
78,35,0.988545833333333,0,639,655,1638,317
79,46,0.9887375,0,616,541,1468,310
80,52,0.988954166666667,0,676,439,1500,328
81,38,0.9891125,0,542,377,1545,251
82,42,0.9892875,0,526,406,1638,304
83,42,0.9894625,0,455,332,1397,291
84,40,0.989629166666667,0,473,358,1243,276
85,38,0.9897875,0,362,427,1151,282
86,34,0.989929166666667,0,352,344,1203,272
87,44,0.9901125,0,379,320,1145,263
88,55,0.990341666666667,0,298,365,1139,233
89,29,0.9904625,15231,361,286,1165,262
90,41,0.990633333333333,0,303,292,1229,241
91,49,0.9908375,0,224,242,1040,242
92,67,0.991116666666667,0,302,215,911,219
93,64,0.991383333333333,0,216,246,951,202
94,74,0.991691666666667,0,222,201,895,200
95,70,0.991983333333333,0,264,170,976,192
96,59,0.992229166666667,0,199,159,1008,181
97,69,0.992516666666667,0,225,171,991,171
98,49,0.992720833333333,0,224,169,884,182
99,38,0.992879166666667,0,202,113,863,156
100,27,0.992991666666667,0,190,168,840,164
101,22,0.993083333333333,0,181,153,851,155
102,24,0.993183333333333,0,181,152,744,126
103,39,0.993345833333333,0,173,132,840,149
104,63,0.993608333333333,0,171,152,887,142
105,48,0.993808333333333,0,159,140,860,130
106,64,0.994075,0,142,144,790,135
107,59,0.994320833333333,0,135,124,750,134
108,35,0.994466666666667,0,143,109,778,124
109,23,0.9945625,18551,130,126,747,114
110,2,0.994570833333333,0,156,122,708,122
111,3,0.994583333333333,0,150,115,672,121
112,3,0.994595833333333,0,142,137,711,121
113,4,0.9946125,0,146,123,763,125
114,4,0.994629166666667,0,125,132,778,126
115,3,0.994641666666667,0,116,107,750,123
116,6,0.994666666666667,0,127,110,771,97
117,1,0.994670833333333,0,95,109,740,95
118,2,0.994679166666667,0,116,108,684,103
119,1,0.994683333333333,0,90,91,644,108
120,2,0.994691666666667,0,90,97,645,96
121,1,0.994695833333333,0,91,113,717,97
122,7,0.994725,0,93,97,733,75
123,3,0.9947375,0,91,87,685,75
124,7,0.994766666666667,0,97,92,719,92
125,1,0.994770833333333,0,71,84,688,93
126,5,0.994791666666667,0,89,82,689,72
127,3,0.994804166666667,0,90,70,647,85
128,5,0.994825,0,94,78,598,72
129,3,0.9948375,0,92,86,567,82
130,4,0.994854166666667,20075,76,83,551,78
131,1,0.994858333333333,0,66,85,651,85
132,3,0.994870833333333,0,62,75,594,82
133,2,0.994879166666667,0,54,98,606,68
134,2,0.9948875,0,58,93,591,62
135,2,0.994895833333333,0,65,69,542,61
136,3,0.994908333333333,0,58,79,477,61
137,5,0.994929166666667,0,60,77,506,80
138,4,0.994945833333333,0,59,78,525,70
139,4,0.9949625,0,61,62,543,60
140,19,0.995041666666667,0,70,71,554,62
141,16,0.995108333333333,0,62,86,486,70
142,36,0.995258333333333,0,61,81,434,58
143,54,0.995483333333333,0,56,89,408,63
144,44,0.995666666666667,0,71,71,397,82
145,45,0.995854166666667,0,59,112,346,54
146,42,0.996029166666667,0,56,92,321,63
147,43,0.996208333333333,0,65,89,270,52
148,68,0.996491666666667,0,71,60,344,57
149,94,0.996883333333333,0,62,61,340,40
150,89,0.997254166666667,18506,54,54,307,57
151,83,0.9976,0,52,46,260,36
152,72,0.9979,0,82,55,221,52
153,107,0.998345833333333,0,54,35,195,58
154,139,0.998925,0,52,45,177,41
155,146,0.999533333333333,0,43,43,197,44
156,84,0.999883333333333,0,36,39,303,49
157,21,0.999970833333333,0,39,37,169,51
158,6,0.999995833333333,0,52,39,189,47
159,1,1,0,46,35,177,38
160,0,1,0,36,36,182,44
161,0,1,0,40,26,216,47
162,0,1,0,34,30,197,46
163,0,1,0,43,23,167,25
164,0,1,0,41,36,201,60
165,0,1,0,31,37,210,40
166,0,1,15246,43,39,181,32
167,0,1,0,36,39,200,60
168,0,1,0,31,31,189,35
169,0,1,0,32,43,157,35
170,0,1,0,33,50,179,60
171,0,1,0,44,37,228,28
172,0,1,0,50,55,222,39
173,0,1,0,38,53,216,48
174,0,1,0,60,58,217,36
175,0,1,0,49,57,166,40
176,0,1,0,62,69,143,33
177,0,1,0,79,59,130,31
178,0,1,0,90,56,120,53
179,0,1,12401,100,66,126,38
180,0,1,0,99,68,110,39
181,0,1,0,88,83,143,51
182,0,1,0,97,60,138,44
183,0,1,0,75,76,130,36
184,0,1,0,64,49,103,35
185,0,1,0,38,58,115,35
186,0,1,0,31,49,108,35
187,0,1,0,21,39,102,39
188,0,1,0,23,38,83,31
189,0,1,0,31,34,111,39
190,0,1,0,29,31,101,44
191,0,1,10988,37,26,89,31
192,0,1,0,51,24,121,45
193,0,1,0,48,19,84,48
194,0,1,0,53,23,111,51
195,0,1,0,66,33,92,49
196,0,1,0,42,29,94,48
197,0,1,0,63,30,99,49
198,0,1,0,60,21,74,48
199,0,1,0,53,18,64,65
200,0,1,0,36,31,115,52
201,0,1,9934,48,28,68,56
202,0,1,0,43,26,94,59
203,0,1,0,45,33,119,69
204,0,1,0,47,25,98,56
205,0,1,0,61,26,98,60
206,0,1,0,52,30,101,49
207,0,1,0,49,40,103,61
208,0,1,0,34,33,90,65
209,0,1,0,60,43,82,46
210,0,1,0,34,29,51,52
211,0,1,9380,44,45,52,55
212,0,1,0,21,31,62,50
213,0,1,0,25,20,63,49
214,0,1,0,12,37,46,30
215,0,1,0,9,25,46,33
216,0,1,0,0,22,47,29
217,0,1,0,0,32,43,29
218,0,1,0,0,25,27,27
219,0,1,0,0,24,35,24
220,0,1,0,0,23,26,20
221,0,1,8545,0,21,26,15
222,0,1,0,0,24,27,24
223,0,1,0,0,21,28,13
224,0,1,0,0,23,19,11
225,0,1,0,0,14,26,15
226,0,1,0,0,13,29,13
227,0,1,0,0,12,26,10
228,0,1,6800,0,13,30,5
229,0,1,0,0,3,36,4
230,0,1,0,0,3,38,4
231,0,1,0,0,1,35,3
232,0,1,0,0,1,23,1
233,0,1,4534,0,1,23,1
234,0,1,0,0,0,21,0
235,0,1,0,0,0,25,0
236,0,1,2875,0,0,21,0
237,0,1,0,0,0,36,0
238,0,1,1950,0,0,18,0
239,0,1,1471,0,0,20,0
240,0,1,0,0,0,12,0
241,0,1,1148,0,0,15,0
242,0,1,998,0,0,8,0
243,0,1,1549,0,0,8,0
244,0,1,669,0,0,11,0
245,0,1,1348,0,0,2,0
246,0,1,665,0,0,1,0
247,0,1,1143,0,0,1,0
248,0,1,926,0,0,1,0
249,0,1,947,0,0,0,0
250,0,1,1012,0,0,0,0
251,0,1,854,0,0,0,0
252,0,1,1008,0,0,0,0
253,0,1,908,0,0,0,0
254,0,1,971,0,0,0,0
255,0,1,953,0,0,1,0
