IntensityLevel,InputHistogram,InputCDF,GlobalEqualizedHistogram,CLAHE_4x4_clip_0_01_Histogram,CLAHE_8x8_clip_0_01_Histogram,CLAHE_8x8_clip_0_03_Histogram,CLAHE_16x16_clip_0_01_Histogram
0,30,0.000125,840,30,12,35,5
1,260,0.00120833333333333,804,16,23,53,18
2,550,0.0035,976,111,74,152,34
3,804,0.00685,1050,254,137,184,112
4,976,0.0109166666666667,0,270,296,271,155
5,1050,0.0152916666666667,1329,341,250,386,216
6,1329,0.0208291666666667,0,501,340,347,257
7,2321,0.0305,2321,518,544,397,436
8,3659,0.0457458333333333,0,452,482,342,422
9,5128,0.0671125,0,875,600,409,508
10,6420,0.0938625,0,867,870,426,649
11,7756,0.126179166666667,3659,721,1081,522,863
12,8728,0.162545833333333,0,877,795,685,949
13,9366,0.201570833333333,0,1735,1140,628,1134
14,10047,0.243433333333333,0,1344,1887,628,1521
15,9926,0.284791666666667,0,1330,1600,613,1777
16,9147,0.322904166666667,0,2027,1708,681,1904
17,7744,0.355170833333333,5128,2295,2547,751,2447
18,6945,0.384108333333333,0,2186,2988,738,2745
19,6324,0.410458333333333,0,2653,2870,1045,3237
20,5854,0.43485,0,3302,3161,1161,3879
21,5637,0.4583375,0,2810,4339,1187,4390
22,5666,0.481945833333333,0,3041,4175,1149,4637
23,5668,0.5055625,0,3704,4046,1046,4674
24,6034,0.530704166666667,6420,3162,4109,1109,5271
25,5718,0.554529166666667,0,3602,4575,1281,5228
26,5432,0.5771625,0,3682,4027,1356,5258
27,4994,0.597970833333333,0,3084,3978,1713,4912
28,4911,0.618433333333333,0,3237,4358,1843,5063
29,5350,0.640725,0,3903,3864,1958,4760
30,6518,0.667883333333333,0,2885,3930,1816,4348
31,7351,0.6985125,0,2928,3526,1707,4076
32,7801,0.731016666666667,7756,3694,3727,1775,4038
33,8104,0.764783333333333,0,2780,3309,1823,3578
34,8432,0.799916666666667,0,2365,3571,1739,3354
35,8466,0.835191666666667,0,2801,3017,1895,3487
36,9712,0.875658333333333,0,3272,2967,2296,3417
37,9702,0.916083333333333,0,2053,2785,2340,2972
38,7356,0.946733333333333,0,2440,2729,2369,2954
39,4523,0.965579166666667,0,2685,2415,2139,3152
40,3043,0.978258333333333,0,2044,2288,1860,2942
41,2083,0.9869375,8728,1734,2366,2083,2698
42,1498,0.993179166666667,0,2254,2022,1981,2833
43,767,0.996375,0,2081,2192,1924,2901
44,381,0.9979625,0,1489,1932,2063,2783
45,173,0.998683333333333,0,2239,2008,2421,2725
46,79,0.9990125,0,1930,1933,2335,2840
47,41,0.999183333333333,0,1465,1996,2088,3103
48,38,0.999341666666667,0,1462,1963,1914,2934
49,15,0.999404166666667,0,2210,1670,1844,2717
50,10,0.999445833333333,0,1594,1699,1943,2984
51,5,0.999466666666667,9366,1456,1866,2142,3083
52,3,0.999479166666667,0,1926,1764,1971,2854
53,0,0.999479166666667,0,1743,1753,2196,2712
54,0,0.999479166666667,0,1569,1757,2133,3003
55,5,0.9995,0,1390,2120,1975,2955
56,2,0.999508333333333,0,2119,1607,1867,2571
57,1,0.9995125,0,1597,1795,1740,2641
58,2,0.999520833333333,0,1504,2250,1779,2968
59,4,0.9995375,0,1538,2088,1958,2634
60,3,0.99955,0,1990,1982,1740,2516
61,1,0.999554166666667,0,1750,1912,1916,2573
62,3,0.999566666666667,10047,1579,2805,1968,2814
63,3,0.999579166666667,0,2075,2095,1749,2606
64,1,0.999583333333333,0,1706,2523,1585,2516
65,0,0.999583333333333,0,1882,2578,1632,2719
66,1,0.9995875,0,1867,2985,1584,2634
67,3,0.9996,0,2342,3150,1701,2545
68,1,0.999604166666667,0,1840,2622,1848,2487
69,2,0.9996125,0,1940,2919,1569,2615
70,3,0.999625,0,2291,3252,1489,2519
71,1,0.999629166666667,0,2441,3339,1503,2644
72,1,0.999633333333333,9926,1701,2441,1402,2328
73,1,0.9996375,0,1938,2777,1430,2457
74,1,0.999641666666667,0,3166,3569,1428,2367
75,1,0.999645833333333,0,2127,2958,1600,2332
76,2,0.999654166666667,0,1750,2442,1398,2180
77,0,0.999654166666667,0,2076,2401,1544,2078
78,3,0.999666666666667,0,3199,3188,1331,2203
79,1,0.999670833333333,0,2430,2773,1257,1961
80,0,0.999670833333333,0,2248,2294,1338,1850
81,0,0.999670833333333,0,2485,2228,1201,1812
82,0,0.999670833333333,9147,2887,2675,1246,1907
83,1,0.999675,0,2599,2617,1194,1588
84,1,0.999679166666667,0,2415,2133,1379,1601
85,1,0.999683333333333,0,2532,2194,1337,1671
86,0,0.999683333333333,0,2549,2442,1455,1627
87,3,0.999695833333333,0,2611,2121,1345,1450
88,4,0.9997125,0,2270,1915,1177,1476
89,0,0.9997125,0,2376,2038,1078,1664
90,1,0.999716666666667,7744,2336,1968,1122,1342
91,2,0.999725,0,2598,1838,1215,1262
92,1,0.999729166666667,0,2209,1648,1368,1331
